ID,feature1,feature2,labels
1,8.78,4.99,3
2,10.13,-1.56,2
3,10.04,6.45,2
4,3.71,15.65,4
5,2.4,2.99,1
6,10.15,2.04,2
7,9.52,1.38,2
8,6.84,7.26,3
9,7.42,11.24,3
10,4.51,15.32,4
11,10.21,2.91,2
12,3.32,7.46,3
13,9.4,1.83,2
14,0.62,0.08,0
15,2.53,3.33,1
16,1.05,0.47,0
17,1.36,5.3,1
18,0.43,-0.9,0
19,4.62,15.55,4
20,0.57,-0.35,0
21,3.72,15.02,4
22,4.57,15.04,4
23,1.56,4.28,1
24,9.94,3.61,2
25,0,0,0
26,-0.71,-0.06,0
27,5.52,15.64,4
28,3.09,6.33,3
29,10.24,3.48,2
30,0,0,0
31,1.89,0.21,0
32,2.91,14.58,4
33,5.93,14.17,4
34,6.28,14.94,4
35,9.25,3.5,2
36,9.84,4.9,3
37,5.06,14.28,4
38,0,0,0
39,8.32,6.14,3
40,9.92,4.41,2
41,10.16,2.57,2
42,9.63,11.31,3
43,4.58,6.16,3
44,0,0,0
45,10.08,3.27,2
46,0,0,0
47,9.91,5.64,2
48,7.38,8.27,3
49,1.72,-0.08,0
50,8.32,5.3,3
51,0.85,1.99,1
52,5.68,15.35,4
53,1.97,-0.84,0
54,9.88,3.03,2
55,4.45,14.99,4
56,9.92,2.76,2
57,1,3.92,1
58,0,0,0
59,10.35,5.01,2
60,1.92,5.33,1
61,1.35,-0.27,0
62,9.31,4.74,2
63,5.1,14.73,4
64,6.42,14.93,4
65,5.54,9.46,3
66,9.87,6.26,2
67,5.89,13.93,4
68,1.91,4.92,1
69,1.51,-1.21,0
70,0.2,0.75,0
71,9.63,3.41,2
72,3.8,14.54,4
73,2.28,5.16,1
74,3.88,5.09,3
75,3.37,15.87,4
76,4.83,14.35,4
77,0,0,0
78,8.6,7.69,3
79,10.23,2.39,2
80,4.28,14.99,4
81,5.03,14.41,4
82,3.56,14.32,4
83,6.6,5.26,3
84,6.32,15.13,4
85,5.8,14.54,4
86,6.1,6.39,3
87,1.47,-0.84,0
88,2.49,3.47,1
89,10.29,2.69,2
90,2.23,3.39,1
91,2.04,5.2,1
92,0.16,0.44,0
93,9.8,2.96,2
94,10.01,2.16,2
95,5.67,4.73,3
96,10.45,3.51,2
97,0,0,0
98,0.02,0.43,0
99,2.5,5.18,1
100,2.09,5.5,1
101,4.88,15.24,4
102,9.82,2.78,2
103,2.03,1.82,0
104,7.99,7.36,3
105,3.29,15.7,4
106,0.88,-0.54,0
107,1.95,3.26,1
108,2.11,4.74,1
